Trade number,Instrument,Account,Strategy,Market pos.,Qty,Entry price,Exit price,Entry time,Exit time,Entry name,Exit name,Profit,Cum. net profit,Commission,Clearing Fee,Exchange Fee,IP Fee,NFA Fee,MAE,MFE,ETD,Bars,
198,MNQ 12-25,Playback101,,Long,2,25336.00,25295.00,12/12/25 11:34:36 a. m.,12/12/25 11:58:03 a. m.,EntryLong,SL_Long,$-16400,$3.78475,$000,$000,$000,$000,$000,$20400,$26200,$42600,25,
199,MGC 02-26,Playback101,,Short,1,4379.5,4316.8,12/12/25 11:07:51 a. m.,12/12/25 11:58:11 a. m.,EntryShort,TP2_Short,$62700,$4.41175,$000,$000,$000,$000,$000,$4800,$63900,$1200,52,
200,MES 12-25,Playback101,,Long,2,6826.00,6818.00,12/12/25 12:08:22 p. m.,12/12/25 12:11:36 p. m.,EntryLong,SL_Long,$-8000,$4.33175,$000,$000,$000,$000,$000,$9500,$750,$8750,4,
201,MNQ 12-25,Playback101,,Long,1,25208.25,25165.75,12/12/25 12:08:23 p. m.,12/12/25 12:11:36 p. m.,EntryLong,SL_Long,$-8500,$4.24675,$000,$000,$000,$000,$000,$9800,$2100,$10600,4,
202,MNQ 12-25,Playback101,,Long,1,25209.25,25165.75,12/12/25 12:08:23 p. m.,12/12/25 12:11:36 p. m.,EntryLong,SL_Long,$-8700,$4.15975,$000,$000,$000,$000,$000,$10000,$1900,$10600,4,
203,M2K 12-25,Playback101,,Long,1,2559.5,2555.7,12/12/25 12:31:45 p. m.,12/12/25 12:33:58 p. m.,EntryLong,Sell,$-1900,$4.14075,$000,$000,$000,$000,$000,$1950,$050,$1950,3,
204,M2K 12-25,Playback101,,Long,1,2559.5,2555.6,12/12/25 12:31:45 p. m.,12/12/25 12:33:58 p. m.,EntryLong,Sell,$-1950,$4.12125,$000,$000,$000,$000,$000,$1950,$050,$2000,3,
205,MES 12-25,Playback101,,Long,2,6818.25,6810.00,12/12/25 12:31:56 p. m.,12/12/25 12:37:50 p. m.,EntryLong,SL_Long,$-8250,$4.03875,$000,$000,$000,$000,$000,$8750,$1500,$9750,7,
206,MNQ 12-25,Playback101,,Long,1,25177.50,25133.50,12/12/25 12:31:57 p. m.,12/12/25 12:38:13 p. m.,EntryLong,SL_Long,$-8800,$3.95075,$000,$000,$000,$000,$000,$8850,$1700,$10500,8,
207,MNQ 12-25,Playback101,,Long,1,25177.50,25133.50,12/12/25 12:31:57 p. m.,12/12/25 12:38:13 p. m.,EntryLong,SL_Long,$-8800,$3.86275,$000,$000,$000,$000,$000,$8850,$1700,$10500,8,
208,MNQ 12-25,Playback101,,Long,1,25143.75,25230.25,12/12/25 12:43:09 p. m.,12/12/25 1:05:26 p. m.,EntryLong,TP2_Long,$17300,$4.03575,$000,$000,$000,$000,$000,$1500,$17600,$300,23,
209,MNQ 12-25,Playback101,,Long,1,25143.75,25230.00,12/12/25 12:43:09 p. m.,12/12/25 1:05:26 p. m.,EntryLong,TP2_Long,$17250,$4.20825,$000,$000,$000,$000,$000,$1500,$17600,$350,23,
210,MES 12-25,Playback101,,Long,1,6810.25,6829.75,12/12/25 12:43:05 p. m.,12/12/25 1:06:31 p. m.,EntryLong,TP2_Long,$9750,$4.30575,$000,$000,$000,$000,$000,$250,$9875,$125,24,
