ID,Instrument,EntryTime,Type,EntryPrice,ExitTime,ExitPrice,Result,PnL,Commission,NetPnL,MAE,MFE,Setup,Attempt,RiskReward
19,MYM 03-26,2025-12-17 17:06:00,Long,48240,2025-12-17 23:06:00,48205,SL_Long_08,-70.00,7.28,-77.28,-70.00,134.00,USA Low,8,-1.00
20,MYM 03-26,2025-12-17 23:22:00,Long,48164,2025-12-18 04:24:00,48238,TP1_Long_09,185.00,9.10,175.90,-40.50,342.00,USA Low,9,2.28
20.2,MYM 03-26,2025-12-17 23:22:00,Long,48164,2025-12-19 02:37:00,48164,SL_Long_09,0.00,7.28,-7.28,-40.50,1128.00,USA Low,9,0.00
21,MYM 03-26,2025-12-19 02:51:00,Long,48135.2575757576,2025-12-19 03:12:00,48217,TP1_Long_01,449.58,20.02,429.56,0.00,868.80,Asia Low,1,4.63
21.2,MYM 03-26,2025-12-19 02:51:00,Long,48135.2575757576,2025-12-19 04:11:00,48286,TP2_Long_01,753.71,18.20,735.51,0.00,868.80,Asia Low,1,7.75
1.1,MYM 03-26,2025-12-08 10:19:00,Short,48435,2025-12-08 10:31:00,48396,TP1_Short_01,19.50,1.82,17.68,-10.00,40.00,Europe High,1,1.30
1.2,MYM 03-26,2025-12-08 10:19:00,Short,48435,2025-12-08 10:31:00,48363,TP2_Short_01,36.00,1.82,34.18,-10.00,40.00,Europe High,1,2.40
2,MYM 03-26,2025-12-09 04:16:00,Short,48211,2025-12-09 04:20:00,48220,SL_Short_01,-31.50,12.74,-44.24,-31.50,7.00,Asia High,1,-1.00
3,MYM 03-26,2025-12-09 14:02:00,Long,48076.3830776383,2025-12-09 14:38:00,48038,SL_Long_01,-76.77,7.28,-84.05,-76.77,81.23,USA Low,1,-1.00
4,MYM 03-26,2025-12-09 14:45:00,Long,48012,2025-12-09 14:46:00,48000,SL_Long_02,-72.00,21.84,-93.84,-72.00,48.00,USA Low,2,-1.00
5,MYM 03-26,2025-12-09 15:11:00,Long,48046.5128834356,2025-12-09 16:59:00,47983,SL_Long_03,-63.51,3.64,-67.15,-63.51,26.49,USA Low,3,-1.00
6,MYM 03-26,2025-12-09 17:02:00,Long,47994,2025-12-09 17:18:00,47969,SL_Long_04,-50.00,7.28,-57.28,-50.00,32.00,USA Low,4,-1.00
7,MYM 03-26,2025-12-09 17:26:00,Long,47969,2025-12-09 17:27:00,47962,SL_Long_05,-56.00,29.12,-85.12,-56.00,8.00,USA Low,5,-1.00
8,MYM 03-26,2025-12-09 17:36:00,Long,47964,2025-12-10 06:26:00,47958,SL_Long_06,-66.00,40.04,-106.04,-66.00,847.00,USA Low,6,-1.00
9,MYM 03-26,2025-12-10 06:34:00,Long,47918,2025-12-10 07:01:00,47987,TP1_Long_01,207.00,10.92,196.08,-30.00,432.00,Europe Low,1,3.14
9.2,MYM 03-26,2025-12-10 06:34:00,Long,47918,2025-12-10 09:23:00,48041,TP2_Long_01,369.00,10.92,358.08,-30.00,432.00,Europe Low,1,5.59
10,MYM 03-26,2025-12-10 15:39:00,Short,48407,2025-12-10 15:54:00,48472,SL_Short_01,-65.00,3.64,-68.64,-65.00,179.00,Europe High,1,-1.00
11,MYM 03-26,2025-12-10 16:21:00,Short,48581.999767604,2025-12-10 16:21:00,48606,SL_Short_02,-72.00,10.92,-82.92,-72.00,0.00,Europe High,2,-1.00
12,MYM 03-26,2025-12-10 16:26:00,Short,48561.9794745484,2025-12-10 16:34:00,48625,SL_Short_03,-63.02,3.64,-66.66,-63.02,6.98,Europe High,3,-1.00
13,MYM 03-26,2025-12-10 16:46:00,Short,48597.9368051492,2025-12-10 23:10:00,48269,TP1_Short_04,328.94,3.64,325.30,-18.13,659.87,Europe High,4,4.69
13.2,MYM 03-26,2025-12-10 16:46:00,Short,48597.9368051492,2025-12-11 10:31:00,48597.9368051492,SL_Short_04,0.00,3.64,-3.64,-18.13,659.87,Europe High,4,0.00
14,MYM 03-26,2025-12-12 04:51:00,Short,49286.6735751295,2025-12-12 05:12:00,49240,TP1_Short_01,93.35,7.28,86.07,-33.31,190.69,Europe High,1,1.63
14.2,MYM 03-26,2025-12-12 04:51:00,Short,49286.6735751295,2025-12-12 05:34:00,49229,TP2_Short_01,115.35,7.28,108.07,-33.31,190.69,Europe High,1,2.01
15,MYM 03-26,2025-12-12 11:21:00,Long,49161,2025-12-12 11:26:00,49111,SL_Long_01,-50.00,3.64,-53.64,-50.00,18.00,Asia Low,1,-1.00
1,MYM 03-26,2025-12-02 05:11:00,Short,47756,2025-12-02 05:11:00,47764,SL_Short_01,-52.00,23.66,-75.66,-52.00,0.00,Asia High,1,-1.00
2,MYM 03-26,2025-12-02 05:19:00,Short,47766,2025-12-02 05:25:00,47770,SL_Short_02,-34.00,30.94,-64.94,-34.00,110.50,Asia High,2,-1.33
3,MYM 03-26,2025-12-02 05:49:00,Short,47760.7082066869,2025-12-02 06:30:00,47784,SL_Short_03,-58.23,9.10,-67.33,-58.23,0.00,Asia High,3,-1.00
4,MYM 03-26,2025-12-02 06:48:00,Short,47810,2025-12-02 06:56:00,47813,SL_Short_04,-58.50,70.98,-129.48,-58.50,195.00,Asia High,4,-1.00
5,MYM 03-26,2025-12-02 07:09:00,Short,47818.0032154341,2025-12-02 08:33:00,47763,TP1_Short_05,137.51,9.10,128.41,-4.98,280.02,Asia High,5,2.29
5.2,MYM 03-26,2025-12-02 07:09:00,Short,47818.0032154341,2025-12-02 09:31:00,47820,SL_Short_05,-4.99,9.10,-14.09,-4.99,280.02,Asia High,5,-0.08
6,MYM 03-26,2025-12-02 09:41:00,Short,47835,2025-12-02 09:44:00,47837,SL_Short_06,-59.00,107.38,-166.38,-59.00,383.50,Asia High,6,-1.00
7,MYM 03-26,2025-12-02 09:50:00,Short,47838,2025-12-02 09:50:00,47844,SL_Short_07,-51.00,30.94,-81.94,-51.00,0.00,Asia High,7,-1.00
8,MYM 03-26,2025-12-02 10:12:00,Short,47877.9819639279,2025-12-02 10:15:00,47891,SL_Short_08,-58.58,16.38,-74.96,-58.58,8.92,Asia High,8,-1.00
9,MYM 03-26,2025-12-02 10:30:00,Short,47855.603280369,2025-12-02 10:30:00,47811,TP1_Short_09,44.60,3.64,40.96,0.00,0.00,Asia High,9,0.75
9.2,MYM 03-26,2025-12-02 10:30:00,Short,47855.603280369,2025-12-02 10:30:00,47855.603280369,SL_Short_09,0.00,1.82,-1.82,0.00,0.00,Asia High,9,0.00
10,MYM 03-26,2025-12-02 11:13:00,Short,47890,2025-12-02 11:16:00,47925,SL_Short_10,-70.00,7.28,-77.28,-70.00,16.00,Asia High,10,-1.00
11,MYM 03-26,2025-12-03 00:21:00,Short,48056,2025-12-03 06:51:00,47986,TP1_Short_01,385.00,20.02,364.98,-21.00,745.50,USA High,1,9.17
11.2,MYM 03-26,2025-12-03 00:21:00,Short,48056,2025-12-03 08:36:00,48056,SL_Short_01,0.00,18.20,-18.20,-21.00,745.50,USA High,1,0.00
12,MYM 03-26,2025-12-03 09:02:00,Short,48054,2025-12-03 09:24:00,48007,TP1_Short_01,70.50,5.46,65.04,-30.00,120.00,Asia High,1,1.28
12.2,MYM 03-26,2025-12-03 09:02:00,Short,48054,2025-12-03 10:04:00,47916,TP2_Short_01,138.00,3.64,134.36,-30.00,139.00,Asia High,1,2.51
