ID,Instrument,EntryTime,Type,EntryPrice,ExitTime,ExitPrice,Result,PnL,Commission,NetPnL,MAE,MFE,Setup,Attempt,RiskReward
15,MBT 01-26,2025-11-13 13:36:00,Long,101490.396313364,2025-11-13 13:38:00,101255,SL_Long_04,-70.62,9.36,-79.98,-70.62,11.88,USA Low,4,-1.00
16,MBT 01-26,2025-11-13 13:47:00,Long,101030.883218842,2025-11-13 13:52:00,100905,SL_Long_05,-75.53,18.72,-94.25,-75.53,149.47,USA Low,5,-1.00
17,MBT 01-26,2025-11-13 13:56:00,Long,100955,2025-11-13 13:57:00,100870,SL_Long_06,-76.50,28.08,-104.58,-76.50,31.50,USA Low,6,-1.00
18,MBT 01-26,2025-11-13 14:05:00,Long,100830,2025-11-13 14:06:00,100690,SL_Long_07,-98.00,21.84,-119.84,-101.50,0.00,USA Low,7,-1.00
19,MBT 01-26,2025-11-13 14:21:00,Long,100325,2025-11-13 14:26:00,100050,SL_Long_08,-82.50,9.36,-91.86,-82.50,28.50,USA Low,8,-1.00
20,MBT 01-26,2025-11-13 15:00:00,Long,99577.0902672718,2025-11-13 16:07:00,99155,SL_Long_09,-84.42,6.24,-90.66,-84.42,158.58,USA Low,9,-1.00
21,MBT 01-26,2025-11-13 16:11:00,Long,99470,2025-11-13 16:18:00,99130,SL_Long_10,-68.00,6.24,-74.24,-68.00,14.00,USA Low,10,-1.00
22,MBT 01-26,2025-11-13 16:34:00,Long,99399.7225981056,2025-11-13 17:01:00,98965,SL_Long_11,-86.94,6.24,-93.18,-87.94,128.06,USA Low,11,-1.00
23,MBT 01-26,2025-11-13 17:26:00,Long,99255.6318974724,2025-11-14 00:35:00,98935,SL_Long_12,-64.13,6.24,-70.37,-64.13,443.87,USA Low,12,-1.00
24,MBT 01-26,2025-11-14 00:50:00,Long,98401.7458945549,2025-11-14 00:50:00,98395,SL_Long_13,-1.35,6.24,-7.59,-3.35,0.00,USA Low,13,-1.00
25,MBT 01-26,2025-11-14 03:07:00,Long,98103.5770505385,2025-11-14 03:07:00,98100,SL_Long_14,-0.72,6.24,-6.96,0.00,0.00,USA Low,14,-1.00
26,MBT 01-26,2025-11-14 08:01:00,Long,97250,2025-11-14 08:13:00,96865,SL_Long_01,-77.00,6.24,-83.24,-77.00,3.00,Europe Low,1,-1.00
27,MBT 01-26,2025-11-14 08:20:00,Long,96770,2025-11-14 08:23:00,96675,SL_Long_02,-76.00,24.96,-100.96,-80.00,60.00,Europe Low,2,-1.00
28,MBT 01-26,2025-11-14 08:30:00,Long,96867.8709677419,2025-11-14 08:34:00,96650,SL_Long_03,-65.36,9.36,-74.72,-65.36,48.64,Europe Low,3,-1.00
29,MBT 01-26,2025-11-14 09:13:00,Long,96225.1874838376,2025-11-14 09:13:00,96220,SL_Long_04,-1.04,6.24,-7.28,-1.04,0.00,Europe Low,4,-1.00
30,MBT 01-26,2025-11-14 16:43:00,Long,95316.6666666667,2025-11-14 16:43:00,95305,SL_Long_05,-73.50,196.56,-270.06,-73.50,934.50,Europe Low,5,-1.00
31,MBT 01-26,2025-11-14 16:47:00,Long,95345,2025-11-14 18:00:00,96045,Exit on session close,420.00,18.72,401.28,-66.00,495.00,Europe Low,6,5.83
1,MBT 01-26,2025-11-04 01:40:00,Long,106775,2025-11-04 01:40:00,106680,SL_Long_01,-85.50,28.08,-113.58,-85.50,0.00,Asia Low,1,-1.00
2,MBT 01-26,2025-11-04 01:44:00,Long,106478.75,2025-11-04 01:44:00,106465,SL_Long_02,-83.88,190.32,-274.20,-83.88,282.13,Asia Low,2,-1.00
3,MBT 01-26,2025-11-04 02:06:00,Long,105818.81663113,2025-11-04 02:09:00,105500,SL_Long_03,-63.76,6.24,-70.00,-64.76,0.00,Asia Low,3,-1.00
4.1,MBT 01-26,2025-11-04 04:29:00,Long,105497.316176471,2025-11-04 04:37:00,105930,TP2_Long_01,43.27,3.12,40.15,-1.46,91.54,Europe Low,1,0.51
4.2,MBT 01-26,2025-11-04 04:29:00,Long,105497.316176471,2025-11-04 05:14:00,105070,SL_Long_01,-85.46,6.24,-91.70,-43.73,91.54,Europe Low,1,-1.00
5,MBT 01-26,2025-11-05 08:41:00,Short,103917.864583333,2025-11-05 09:02:00,104115,SL_Short_01,-98.57,15.60,-114.17,-98.57,36.43,Asia High,1,-1.00
6,MBT 01-26,2025-11-05 09:23:00,Short,103845.864726027,2025-11-05 09:42:00,104155,SL_Short_02,-92.74,9.36,-102.10,-94.24,46.76,Asia High,2,-1.00
7,MBT 01-26,2025-11-05 10:06:00,Short,104338.007334963,2025-11-05 10:43:00,104590,SL_Short_03,-75.60,9.36,-84.96,-75.60,255.90,Asia High,3,-1.00
8,MBT 01-26,2025-11-05 10:58:00,Short,104684.143518519,2025-11-05 11:29:00,104845,SL_Short_04,-64.34,12.48,-76.82,-64.34,215.66,Asia High,4,-1.00
9,MBT 01-26,2025-11-05 11:34:00,Short,104760,2025-11-05 11:37:00,104895,SL_Short_05,-67.50,15.60,-83.10,-67.50,0.00,Asia High,5,-1.00
10,MBT 01-26,2025-11-05 11:47:00,Short,105109.921875,2025-11-05 12:02:00,105195,SL_Short_06,-68.06,24.96,-93.02,-76.06,207.94,Asia High,6,-1.00
11,MBT 01-26,2025-11-05 12:10:00,Short,104945.809464508,2025-11-05 12:49:00,105235,SL_Short_07,-57.84,6.24,-64.08,-58.84,101.16,Asia High,7,-1.00
12,MBT 01-26,2025-11-05 12:55:00,Short,105395,2025-11-05 12:56:00,105450,SL_Short_08,-38.50,21.84,-60.34,-38.50,45.50,Asia High,8,-1.00
13,MBT 01-26,2025-11-05 13:00:00,Short,105315,2025-11-05 14:18:00,105465,SL_Short_09,-75.00,15.60,-90.60,-77.50,297.50,Asia High,9,-1.00
14,MBT 01-26,2025-11-05 14:25:00,Short,105412.485207101,2025-11-05 14:27:00,105525,SL_Short_10,-67.51,18.72,-86.23,-70.51,16.49,Asia High,10,-1.00
15,MBT 01-26,2025-11-05 15:00:00,Short,105750,2025-11-05 15:17:00,105860,SL_Short_11,-66.00,18.72,-84.72,-66.00,183.00,Asia High,11,-1.00
16,MBT 01-26,2025-11-05 15:37:00,Short,105755,2025-11-06 08:48:00,103775,TP1_Short_12,396.00,6.24,389.76,-52.50,595.50,Asia High,12,4.80
16.2,MBT 01-26,2025-11-05 15:37:00,Short,105755,2025-11-07 18:00:00,105110,Exit on session close,64.50,3.12,61.38,-52.50,595.50,Asia High,12,0.78
