ID,Instrument,EntryTime,Type,EntryPrice,ExitTime,ExitPrice,Result,PnL,Commission,NetPnL,MAE,MFE,Setup,Attempt,RiskReward
26,MCL 02-26,2025-12-19 03:57:00,Long,55.72,2025-12-19 03:58:00,55.66,SL_Long_01,-48.00,12.32,-60.32,-48.00,0.00,Europe Low,1,-1.00
27,MCL 02-26,2025-12-19 04:04:00,Long,55.69,2025-12-19 04:18:00,55.85,TP1_Long_02,96.00,9.24,86.76,-22.00,187.00,Europe Low,2,2.18
27.2,MCL 02-26,2025-12-19 04:04:00,Long,55.69,2025-12-19 05:28:00,55.69,SL_Long_02,0.00,7.70,-7.70,-22.00,187.00,Europe Low,2,0.00
28,MCL 02-26,2025-12-19 06:47:00,Short,56.01,2025-12-19 06:50:00,56.06,SL_Short_01,-55.00,16.94,-71.94,-55.00,11.00,Asia High,1,-1.00
29,MCL 02-26,2025-12-19 06:59:00,Short,56.0395575221239,2025-12-19 07:16:00,56.12,SL_Short_02,-56.31,10.78,-67.09,-56.31,48.69,Asia High,2,-1.00
30,MCL 02-26,2025-12-19 07:24:00,Short,56.1799310344827,2025-12-19 07:26:00,56.23,SL_Short_03,-55.08,16.94,-72.02,-55.08,0.00,Asia High,3,-1.00
31,MCL 02-26,2025-12-19 07:43:00,Short,56.18,2025-12-19 08:30:00,56.26,SL_Short_04,-56.00,10.78,-66.78,-56.00,56.00,Asia High,4,-1.00
32,MCL 02-26,2025-12-19 08:55:00,Short,56.3399,2025-12-19 09:02:00,56.38,SL_Short_05,-40.10,15.40,-55.50,-40.10,69.90,Asia High,5,-1.00
33,MCL 02-26,2025-12-19 09:16:00,Short,56.4492616033755,2025-12-19 09:44:00,56.51,SL_Short_06,-42.52,10.78,-53.30,-42.52,69.48,Asia High,6,-1.00
34,MCL 02-26,2025-12-19 09:54:00,Short,56.52,2025-12-19 11:39:00,56.19,TP1_Short_01,165.00,7.70,157.30,-27.00,306.00,USA High,1,3.67
34.2,MCL 02-26,2025-12-19 09:54:00,Short,56.52,2025-12-19 12:34:00,56.52,SL_Short_01,0.00,6.16,-6.16,-27.00,306.00,USA High,1,0.00
35,MCL 02-26,2025-12-19 14:16:00,Short,56.64,2025-12-19 14:43:00,56.7,SL_Short_02,-84.00,21.56,-105.56,-84.00,196.00,USA High,2,-1.00
36,MCL 02-26,2025-12-19 14:57:00,Short,56.6796678966789,2025-12-19 18:00:00,56.56,Exit on session close,203.44,26.18,177.26,-34.56,458.44,USA High,3,2.38
1,MCL 02-26,2025-12-08 05:06:00,Long,59.78,2025-12-08 05:06:00,59.75,SL_Long_01,-66.00,33.88,-99.88,-66.00,0.00,Europe Low,1,-1.00
2,MCL 02-26,2025-12-08 05:16:00,Long,59.75,2025-12-08 05:17:00,59.71,SL_Long_02,-72.00,27.72,-99.72,-72.00,0.00,Europe Low,2,-1.00
3,MCL 02-26,2025-12-08 05:31:00,Long,59.5,2025-12-08 05:31:00,59.48,SL_Long_03,-146.00,112.42,-258.42,-219.00,0.00,Europe Low,3,-1.00
