ID,Instrument,EntryTime,Type,EntryPrice,ExitTime,ExitPrice,Result,PnL,Commission,NetPnL,MAE,MFE,Setup,Attempt,RiskReward,DeltaAtEntry,DeltaDirection,SessionDelta,DeltaAtTP1
16.2,M2K 03-25,2025-01-09 20:24:02,Long,2236,2025-01-09 20:25:42,2235.3,SL_Long_04,-210.00,114.00,-324.00,-155.00,0.00,Europe Low,4,-28.00,0,1,0,0,0
17.1,M2K 03-25,2025-01-09 20:29:06,Long,2236.7,2025-01-09 20:33:50,2235.3,SL_Long_05,-7.00,1.90,-8.90,-156.00,36.00,Europe Low,5,-0.54,0,1,0,0,0
17.2,M2K 03-25,2025-01-09 20:29:06,Long,2236.7,2025-01-09 20:33:50,2235.2,SL_Long_05,-172.50,43.70,-216.20,-156.00,36.00,Europe Low,5,-13.27,0,1,0,0,0
18.1,M2K 03-25,2025-01-09 20:42:26,Long,2235.7,2025-01-09 21:10:42,2239.5,TP1_Long_06,19.00,1.90,17.10,-17.00,629.00,Europe Low,6,4.75,0,1,0,0,0
18.2,M2K 03-25,2025-01-09 20:42:26,Long,2235.7,2025-01-09 21:10:42,2239.5,TP1_Long_06,38.00,3.80,34.20,-17.00,629.00,Europe Low,6,9.50,0,1,0,0,0
18.3,M2K 03-25,2025-01-09 20:42:26,Long,2235.7,2025-01-09 21:10:42,2239.5,TP1_Long_06,19.00,1.90,17.10,-17.00,629.00,Europe Low,6,4.75,0,1,0,0,0
18.4,M2K 03-25,2025-01-09 20:42:26,Long,2235.7,2025-01-09 21:10:42,2239.5,TP1_Long_06,38.00,3.80,34.20,-17.00,629.00,Europe Low,6,9.50,0,1,0,0,0
18.5,M2K 03-25,2025-01-09 20:42:26,Long,2235.7,2025-01-09 21:10:42,2239.5,TP1_Long_06,19.00,1.90,17.10,-17.00,629.00,Europe Low,6,4.75,0,1,0,0,0
18.6,M2K 03-25,2025-01-09 20:42:26,Long,2235.7,2025-01-09 21:10:42,2239.5,TP1_Long_06,38.00,3.80,34.20,-17.00,629.00,Europe Low,6,9.50,0,1,0,0,0
18.7,M2K 03-25,2025-01-09 20:42:26,Long,2235.7,2025-01-09 21:10:42,2239.5,TP1_Long_06,19.00,1.90,17.10,-17.00,629.00,Europe Low,6,4.75,0,1,0,0,0
18.8,M2K 03-25,2025-01-09 20:42:26,Long,2235.7,2025-01-09 21:10:42,2239.5,TP1_Long_06,38.00,3.80,34.20,-17.00,629.00,Europe Low,6,9.50,0,1,0,0,0
18.9,M2K 03-25,2025-01-09 20:42:26,Long,2235.7,2025-01-09 21:10:42,2239.5,TP1_Long_06,19.00,1.90,17.10,-17.00,629.00,Europe Low,6,4.75,0,1,0,0,0
18.10,M2K 03-25,2025-01-09 20:42:26,Long,2235.7,2025-01-09 21:10:42,2239.5,TP1_Long_06,38.00,3.80,34.20,-17.00,629.00,Europe Low,6,9.50,0,1,0,0,0
18.11,M2K 03-25,2025-01-09 20:42:26,Long,2235.7,2025-01-09 21:10:42,2239.5,TP1_Long_06,19.00,1.90,17.10,-17.00,629.00,Europe Low,6,4.75,0,1,0,0,0
18.12,M2K 03-25,2025-01-09 20:42:26,Long,2235.7,2025-01-09 21:10:44,2239.5,TP1_Long_06,19.00,1.90,17.10,-17.00,629.00,Europe Low,6,4.75,0,1,0,0,0
18.13,M2K 03-25,2025-01-09 20:42:26,Long,2235.7,2025-01-10 09:30:02,2235.5,SL_Long_06,-2.00,3.80,-5.80,-17.00,1453.50,Europe Low,6,-0.50,0,1,0,0,0
18.14,M2K 03-25,2025-01-09 20:42:26,Long,2235.7,2025-01-10 09:30:02,2235.4,SL_Long_06,-22.50,28.50,-51.00,-17.00,1453.50,Europe Low,6,-5.62,0,1,0,0,0
1,M2K 03-25,2025-01-12 21:35:25,Long,2185.9,2025-01-12 21:35:56,2185.3,SL_Long_01,-9.00,5.70,-14.70,-168.00,84.00,USA Low,1,-3.60,0,1,0,0,2
1.2,M2K 03-25,2025-01-12 21:35:25,Long,2185.9,2025-01-12 21:35:56,2185.2,SL_Long_01,-185.50,100.70,-286.20,-168.00,84.00,USA Low,1,-74.20,0,1,0,0,2
2,M2K 03-25,2025-01-12 21:40:03,Long,2184.4,2025-01-12 21:42:57,2183.1,SL_Long_02,-13.00,3.80,-16.80,-149.50,69.00,USA Low,2,-1.00,0,1,0,0,2
2.2,M2K 03-25,2025-01-12 21:40:03,Long,2184.4,2025-01-12 21:42:57,2183,SL_Long_02,-147.00,39.90,-186.90,-149.50,69.00,USA Low,2,-11.31,0,1,0,0,2
3,M2K 03-25,2025-01-12 21:58:13,Long,2182.7,2025-01-12 22:42:37,2180.4,SL_Long_03,-23.00,3.80,-26.80,-149.50,149.50,USA Low,3,-2.00,0,1,0,0,2
3.2,M2K 03-25,2025-01-12 21:58:13,Long,2182.7,2025-01-12 22:42:37,2180.3,SL_Long_03,-132.00,20.90,-152.90,-149.50,149.50,USA Low,3,-11.48,0,1,0,0,2
4,M2K 03-25,2025-01-12 22:53:28,Long,2180,2025-01-12 23:13:09,2179,SL_Long_04,-10.00,3.80,-13.80,-155.00,372.00,USA Low,4,-1.11,0,1,0,0,2
4.2,M2K 03-25,2025-01-12 22:53:28,Long,2180,2025-01-12 23:13:09,2178.9,SL_Long_04,-159.50,55.10,-214.60,-155.00,372.00,USA Low,4,-17.72,0,1,0,0,2
5,M2K 03-25,2025-01-12 23:19:02,Long,2179.1,2025-01-12 23:22:17,2178,SL_Long_05,-16.50,5.70,-22.20,-159.50,72.50,USA Low,5,-1.50,0,1,0,0,2
5.2,M2K 03-25,2025-01-12 23:19:02,Long,2179.1,2025-01-12 23:22:17,2177.9,SL_Long_05,-156.00,49.40,-205.40,-159.50,72.50,USA Low,5,-14.18,0,1,0,0,2
6.1,M2K 03-25,2025-01-12 23:35:22,Long,2175.6,2025-01-13 04:16:03,2185.8,TP1_Long_06,51.00,1.90,49.10,-92.50,1392.50,USA Low,6,10.20,0,1,0,0,2
