[06:25:07.354] [SYSTEM] Bar:-1 Time:N/A | === RelativeVwap Debug Log Started ===
[06:25:07.354] [SYSTEM] Bar:-1 Time:N/A | Version: 1.0.47
[06:25:07.355] [SYSTEM] Bar:-1 Time:N/A | Instrument: NQ 03-26
[06:25:07.743] [ANCHOR] Bar:1015 Time:11:56:00 | NEW HIGH ANCHOR | Price:25892.42 | High:25898.50 | VWAP:25892.42 | PrevAnchor:1014 | TrackerReset:-1
[06:25:07.743] [SIGNAL2] Bar:1018 Time:11:59:00 | SIG2 SHORT FIRED | High:25884.25 | VWAP:25886.89 | Sep:2.64 | Thresh:1 | AnchorBar:1015 | LastSignaled:-1
[06:25:07.754] [ANCHOR] Bar:1045 Time:12:26:00 | NEW HIGH ANCHOR | Price:25891.92 | High:25899.50 | VWAP:25891.92 | PrevAnchor:1044 | TrackerReset:-1
[06:25:07.755] [ANCHOR] Bar:1047 Time:12:28:00 | NEW HIGH ANCHOR | Price:25897.58 | High:25902.00 | VWAP:25897.58 | PrevAnchor:1046 | TrackerReset:-1
[06:25:07.756] [ANCHOR] Bar:1048 Time:12:29:00 | NEW HIGH ANCHOR | Price:25902.83 | High:25909.50 | VWAP:25902.83 | PrevAnchor:1047 | TrackerReset:-1
[06:25:07.758] [ANCHOR] Bar:1050 Time:12:31:00 | NEW HIGH ANCHOR | Price:25910.17 | High:25914.00 | VWAP:25910.17 | PrevAnchor:1049 | TrackerReset:-1
[06:25:07.758] [ANCHOR] Bar:1051 Time:12:32:00 | NEW HIGH ANCHOR | Price:25917.25 | High:25923.00 | VWAP:25917.25 | PrevAnchor:1050 | TrackerReset:-1
[06:25:07.759] [ANCHOR] Bar:1052 Time:12:33:00 | NEW HIGH ANCHOR | Price:25919.25 | High:25928.50 | VWAP:25919.25 | PrevAnchor:1051 | TrackerReset:-1
[06:25:07.759] [SIGNAL2] Bar:1054 Time:12:35:00 | SIG2 SHORT FIRED | High:25913.25 | VWAP:25914.35 | Sep:1.10 | Thresh:1 | AnchorBar:1052 | LastSignaled:-1
[06:25:07.765] [ANCHOR] Bar:1084 Time:13:05:00 | NEW HIGH ANCHOR | Price:25927.08 | High:25936.50 | VWAP:25927.08 | PrevAnchor:1083 | TrackerReset:-1
[06:25:07.766] [SIGNAL2] Bar:1090 Time:13:11:00 | SIG2 SHORT FIRED | High:25917.75 | VWAP:25922.51 | Sep:4.76 | Thresh:1 | AnchorBar:1084 | LastSignaled:-1
[06:25:07.812] [ANCHOR] Bar:1380 Time:19:01:00 | NEW HIGH ANCHOR | Price:25851.75 | High:25863.75 | VWAP:25851.75 | PrevAnchor:1379 | TrackerReset:-1
[06:25:07.813] [ANCHOR] Bar:1380 Time:19:01:00 | NEW LOW ANCHOR | Price:25851.75 | Low:25845.75 | VWAP:25851.75 | PrevAnchor:1379 | TrackerReset:-1
[06:25:07.813] [ANCHOR] Bar:1381 Time:19:02:00 | NEW LOW ANCHOR | Price:25846.92 | Low:25843.25 | VWAP:25846.92 | PrevAnchor:1380 | TrackerReset:-1
[06:25:07.813] [ANCHOR] Bar:1382 Time:19:03:00 | NEW LOW ANCHOR | Price:25844.75 | Low:25841.25 | VWAP:25844.75 | PrevAnchor:1381 | TrackerReset:-1
[06:25:07.814] [ANCHOR] Bar:1384 Time:19:05:00 | NEW LOW ANCHOR | Price:25843.50 | Low:25838.50 | VWAP:25843.50 | PrevAnchor:1383 | TrackerReset:-1
[06:25:07.816] [ANCHOR] Bar:1390 Time:19:11:00 | NEW HIGH ANCHOR | Price:25863.25 | High:25865.50 | VWAP:25863.25 | PrevAnchor:1389 | TrackerReset:-1
[06:25:07.816] [ANCHOR] Bar:1391 Time:19:12:00 | NEW HIGH ANCHOR | Price:25865.42 | High:25867.50 | VWAP:25865.42 | PrevAnchor:1390 | TrackerReset:-1
[06:25:07.817] [ANCHOR] Bar:1392 Time:19:13:00 | NEW HIGH ANCHOR | Price:25864.75 | High:25867.75 | VWAP:25864.75 | PrevAnchor:1391 | TrackerReset:-1
[06:25:07.817] [ANCHOR] Bar:1393 Time:19:14:00 | NEW HIGH ANCHOR | Price:25866.92 | High:25868.75 | VWAP:25866.92 | PrevAnchor:1392 | TrackerReset:-1
[06:25:07.817] [ANCHOR] Bar:1395 Time:19:16:00 | NEW HIGH ANCHOR | Price:25871.83 | High:25875.00 | VWAP:25871.83 | PrevAnchor:1394 | TrackerReset:-1
[06:25:07.817] [ANCHOR] Bar:1396 Time:19:17:00 | NEW HIGH ANCHOR | Price:25877.08 | High:25879.75 | VWAP:25877.08 | PrevAnchor:1395 | TrackerReset:-1
[06:25:07.818] [ANCHOR] Bar:1397 Time:19:18:00 | NEW HIGH ANCHOR | Price:25883.42 | High:25887.00 | VWAP:25883.42 | PrevAnchor:1396 | TrackerReset:-1
[06:25:07.818] [ANCHOR] Bar:1398 Time:19:19:00 | NEW HIGH ANCHOR | Price:25882.42 | High:25888.25 | VWAP:25882.42 | PrevAnchor:1397 | TrackerReset:-1
[06:25:07.819] [ANCHOR] Bar:1402 Time:19:23:00 | NEW HIGH ANCHOR | Price:25889.42 | High:25892.50 | VWAP:25889.42 | PrevAnchor:1401 | TrackerReset:-1
[06:25:07.819] [ANCHOR] Bar:1403 Time:19:24:00 | NEW HIGH ANCHOR | Price:25893.83 | High:25897.00 | VWAP:25893.83 | PrevAnchor:1402 | TrackerReset:-1
[06:25:07.823] [ANCHOR] Bar:1460 Time:20:21:00 | NEW HIGH ANCHOR | Price:25896.33 | High:25898.50 | VWAP:25896.33 | PrevAnchor:1459 | TrackerReset:-1
[06:25:07.824] [ANCHOR] Bar:1461 Time:20:22:00 | NEW HIGH ANCHOR | Price:25896.50 | High:25899.50 | VWAP:25896.50 | PrevAnchor:1460 | TrackerReset:-1
[06:25:07.829] [ANCHOR] Bar:1477 Time:20:38:00 | NEW HIGH ANCHOR | Price:25897.67 | High:25902.00 | VWAP:25897.67 | PrevAnchor:1476 | TrackerReset:-1
[06:25:07.830] [ANCHOR] Bar:1481 Time:20:42:00 | NEW HIGH ANCHOR | Price:25900.25 | High:25902.75 | VWAP:25900.25 | PrevAnchor:1480 | TrackerReset:-1
[06:25:07.831] [ANCHOR] Bar:1504 Time:21:05:00 | NEW HIGH ANCHOR | Price:25904.25 | High:25906.50 | VWAP:25904.25 | PrevAnchor:1503 | TrackerReset:-1
[06:25:07.832] [ANCHOR] Bar:1510 Time:21:11:00 | NEW HIGH ANCHOR | Price:25909.67 | High:25911.75 | VWAP:25909.67 | PrevAnchor:1509 | TrackerReset:-1
[06:25:07.833] [ANCHOR] Bar:1512 Time:21:13:00 | NEW HIGH ANCHOR | Price:25910.58 | High:25912.75 | VWAP:25910.58 | PrevAnchor:1511 | TrackerReset:-1
[06:25:07.833] [ANCHOR] Bar:1515 Time:21:16:00 | NEW HIGH ANCHOR | Price:25911.58 | High:25913.75 | VWAP:25911.58 | PrevAnchor:1514 | TrackerReset:-1
[06:25:07.835] [ANCHOR] Bar:1528 Time:21:29:00 | NEW HIGH ANCHOR | Price:25913.75 | High:25916.25 | VWAP:25913.75 | PrevAnchor:1527 | TrackerReset:-1
[06:25:07.835] [ANCHOR] Bar:1531 Time:21:32:00 | NEW HIGH ANCHOR | Price:25915.50 | High:25916.50 | VWAP:25915.50 | PrevAnchor:1530 | TrackerReset:-1
[06:25:07.837] [ANCHOR] Bar:1532 Time:21:33:00 | NEW HIGH ANCHOR | Price:25915.83 | High:25917.00 | VWAP:25915.83 | PrevAnchor:1531 | TrackerReset:-1
[06:25:07.837] [ANCHOR] Bar:1534 Time:21:35:00 | NEW HIGH ANCHOR | Price:25916.50 | High:25918.50 | VWAP:25916.50 | PrevAnchor:1533 | TrackerReset:-1
[06:25:07.839] [ANCHOR] Bar:1544 Time:21:45:00 | NEW HIGH ANCHOR | Price:25917.25 | High:25919.25 | VWAP:25917.25 | PrevAnchor:1543 | TrackerReset:-1
[06:25:07.840] [ANCHOR] Bar:1547 Time:21:48:00 | NEW HIGH ANCHOR | Price:25919.58 | High:25921.00 | VWAP:25919.58 | PrevAnchor:1546 | TrackerReset:-1
[06:25:07.840] [ANCHOR] Bar:1548 Time:21:49:00 | NEW HIGH ANCHOR | Price:25921.17 | High:25922.75 | VWAP:25921.17 | PrevAnchor:1547 | TrackerReset:-1
[06:25:07.841] [ANCHOR] Bar:1549 Time:21:50:00 | NEW HIGH ANCHOR | Price:25922.75 | High:25924.25 | VWAP:25922.75 | PrevAnchor:1548 | TrackerReset:-1
[06:25:07.841] [ANCHOR] Bar:1550 Time:21:51:00 | NEW HIGH ANCHOR | Price:25923.00 | High:25924.75 | VWAP:25923.00 | PrevAnchor:1549 | TrackerReset:-1
[06:25:07.842] [ANCHOR] Bar:1551 Time:21:52:00 | NEW HIGH ANCHOR | Price:25924.08 | High:25926.00 | VWAP:25924.08 | PrevAnchor:1550 | TrackerReset:-1
[06:25:07.843] [ANCHOR] Bar:1554 Time:21:55:00 | NEW HIGH ANCHOR | Price:25924.08 | High:25927.00 | VWAP:25924.08 | PrevAnchor:1553 | TrackerReset:-1
[06:25:07.852] [ANCHOR] Bar:1560 Time:22:01:00 | NEW HIGH ANCHOR | Price:25925.42 | High:25927.50 | VWAP:25925.42 | PrevAnchor:1559 | TrackerReset:-1
[06:25:07.852] [ANCHOR] Bar:1561 Time:22:02:00 | NEW HIGH ANCHOR | Price:25928.58 | High:25930.00 | VWAP:25928.58 | PrevAnchor:1560 | TrackerReset:-1
[06:25:07.853] [ANCHOR] Bar:1563 Time:22:04:00 | NEW HIGH ANCHOR | Price:25931.17 | High:25933.75 | VWAP:25931.17 | PrevAnchor:1562 | TrackerReset:-1
[06:25:07.855] [ANCHOR] Bar:1565 Time:22:06:00 | NEW HIGH ANCHOR | Price:25937.17 | High:25939.75 | VWAP:25937.17 | PrevAnchor:1564 | TrackerReset:-1
[06:25:07.855] [ANCHOR] Bar:1566 Time:22:07:00 | NEW HIGH ANCHOR | Price:25939.92 | High:25942.00 | VWAP:25939.92 | PrevAnchor:1565 | TrackerReset:-1
[06:25:07.855] [ANCHOR] Bar:1567 Time:22:08:00 | NEW HIGH ANCHOR | Price:25940.67 | High:25942.50 | VWAP:25940.67 | PrevAnchor:1566 | TrackerReset:-1
[06:25:07.856] [ANCHOR] Bar:1569 Time:22:10:00 | NEW HIGH ANCHOR | Price:25944.75 | High:25947.75 | VWAP:25944.75 | PrevAnchor:1568 | TrackerReset:-1
[06:25:57.477] [SYSTEM] Bar:-1 Time:N/A | === RelativeVwap Debug Log Started ===
[06:25:57.478] [SYSTEM] Bar:-1 Time:N/A | Version: 1.0.47
[06:25:57.478] [SYSTEM] Bar:-1 Time:N/A | Instrument: NQ 03-26
[06:25:57.479] [ANCHOR] Bar:14 Time:19:15:00 | NEW HIGH ANCHOR | Price:25495.67 | High:25501.00 | VWAP:25495.67 | PrevAnchor:13 | TrackerReset:-1
[06:25:57.479] [ANCHOR] Bar:14 Time:19:15:00 | NEW LOW ANCHOR | Price:25495.67 | Low:25488.50 | VWAP:25495.67 | PrevAnchor:13 | TrackerReset:-1
[06:25:57.480] [ANCHOR] Bar:15 Time:19:16:00 | NEW LOW ANCHOR | Price:25494.92 | Low:25488.00 | VWAP:25494.92 | PrevAnchor:14 | TrackerReset:-1
[06:25:57.480] [ANCHOR] Bar:16 Time:19:17:00 | NEW HIGH ANCHOR | Price:25497.92 | High:25502.50 | VWAP:25497.92 | PrevAnchor:15 | TrackerReset:-1
[06:25:57.481] [ANCHOR] Bar:17 Time:19:18:00 | NEW HIGH ANCHOR | Price:25508.58 | High:25517.50 | VWAP:25508.58 | PrevAnchor:16 | TrackerReset:-1
[06:25:57.481] [ANCHOR] Bar:18 Time:19:19:00 | NEW HIGH ANCHOR | Price:25518.00 | High:25521.25 | VWAP:25518.00 | PrevAnchor:17 | TrackerReset:-1
[06:25:57.482] [ANCHOR] Bar:20 Time:19:21:00 | NEW HIGH ANCHOR | Price:25517.75 | High:25524.50 | VWAP:25517.75 | PrevAnchor:19 | TrackerReset:-1
[06:25:57.482] [ANCHOR] Bar:21 Time:19:22:00 | NEW HIGH ANCHOR | Price:25527.83 | High:25535.25 | VWAP:25527.83 | PrevAnchor:20 | TrackerReset:-1
