[21:14:42.432] [SYSTEM] Bar:-1 Time:N/A | === RelativeVwap Debug Log Started ===
[21:14:42.433] [SYSTEM] Bar:-1 Time:N/A | Version: 1.0.26
[21:14:42.433] [SYSTEM] Bar:-1 Time:N/A | Instrument: MNQ 03-25
[21:14:42.562] [ANCHOR] Bar:1143 Time:19:04:00 | NEW LOW ANCHOR | Price:21681.25 | Low:21672.00 | VWAP:21681.25 | PrevAnchor:1142 | TrackerReset:-1
[21:14:42.563] [ANCHOR] Bar:1147 Time:19:08:00 | NEW HIGH ANCHOR | Price:21720.25 | High:21721.25 | VWAP:21720.25 | PrevAnchor:1146 | TrackerReset:-1
[21:14:42.563] [ANCHOR] Bar:1148 Time:19:09:00 | NEW HIGH ANCHOR | Price:21710.50 | High:21721.75 | VWAP:21710.50 | PrevAnchor:1147 | TrackerReset:-1
[21:14:42.564] [ANCHOR] Bar:1156 Time:19:17:00 | NEW HIGH ANCHOR | Price:21735.25 | High:21737.75 | VWAP:21735.25 | PrevAnchor:1155 | TrackerReset:-1
[21:14:42.564] [ANCHOR] Bar:1160 Time:19:21:00 | NEW HIGH ANCHOR | Price:21731.50 | High:21738.00 | VWAP:21731.50 | PrevAnchor:1159 | TrackerReset:-1
[21:14:42.567] [ANCHOR] Bar:1186 Time:19:47:00 | NEW HIGH ANCHOR | Price:21733.00 | High:21739.75 | VWAP:21733.00 | PrevAnchor:1185 | TrackerReset:-1
[21:14:42.569] [ANCHOR] Bar:1208 Time:20:09:00 | NEW HIGH ANCHOR | Price:21740.50 | High:21744.75 | VWAP:21740.50 | PrevAnchor:1207 | TrackerReset:-1
[21:14:42.569] [ANCHOR] Bar:1214 Time:20:15:00 | NEW HIGH ANCHOR | Price:21743.00 | High:21746.00 | VWAP:21743.00 | PrevAnchor:1213 | TrackerReset:-1
[21:14:42.570] [ANCHOR] Bar:1215 Time:20:16:00 | NEW HIGH ANCHOR | Price:21737.25 | High:21746.50 | VWAP:21737.25 | PrevAnchor:1214 | TrackerReset:-1
[21:14:42.572] [ANCHOR] Bar:1249 Time:20:50:00 | NEW LOW ANCHOR | Price:21674.50 | Low:21666.75 | VWAP:21674.50 | PrevAnchor:1248 | TrackerReset:-1
[21:14:42.572] [ANCHOR] Bar:1250 Time:20:51:00 | NEW LOW ANCHOR | Price:21630.25 | Low:21627.00 | VWAP:21630.25 | PrevAnchor:1249 | TrackerReset:-1
[21:14:42.573] [ANCHOR] Bar:1251 Time:20:52:00 | NEW LOW ANCHOR | Price:21616.50 | Low:21584.00 | VWAP:21616.50 | PrevAnchor:1250 | TrackerReset:-1
[21:14:42.574] [ANCHOR] Bar:1252 Time:20:53:00 | NEW LOW ANCHOR | Price:21565.25 | Low:21553.25 | VWAP:21565.25 | PrevAnchor:1251 | TrackerReset:-1
[21:14:42.575] [ANCHOR] Bar:1253 Time:20:54:00 | NEW LOW ANCHOR | Price:21536.00 | Low:21502.25 | VWAP:21536.00 | PrevAnchor:1252 | TrackerReset:-1
[21:14:42.576] [ANCHOR] Bar:1258 Time:20:59:00 | NEW LOW ANCHOR | Price:21486.25 | Low:21464.00 | VWAP:21486.25 | PrevAnchor:1257 | TrackerReset:-1
[21:14:42.576] [ANCHOR] Bar:1259 Time:21:00:00 | NEW LOW ANCHOR | Price:21469.50 | Low:21451.00 | VWAP:21469.50 | PrevAnchor:1258 | TrackerReset:-1
[21:14:42.576] [ANCHOR] Bar:1260 Time:21:01:00 | NEW LOW ANCHOR | Price:21444.50 | Low:21370.25 | VWAP:21444.50 | PrevAnchor:1259 | TrackerReset:-1
[21:14:42.577] [SIGNAL2] Bar:1263 Time:21:04:00 | SIG2 LONG FIRED | Low:21497.25 | VWAP:21480.94 | Sep:16.31 | Thresh:1 | AnchorBar:1260 | LastSignaled:-1
[21:14:42.580] [CANCEL] Bar:1295 Time:21:36:00 | SIG2 LONG CANCELLED | TouchedVWAP | Low:21542.00 | VWAP:21548.92 | SignalBar:1263 | BarsAgo:32
[21:14:42.631] [SIGNAL2] Bar:2088 Time:10:49:00 | SIG2 LONG FIRED | Low:21647.25 | VWAP:21638.16 | Sep:9.09 | Thresh:1 | AnchorBar:1260 | LastSignaled:-1
[21:14:42.632] [CANCEL] Bar:2093 Time:10:54:00 | SIG2 LONG CANCELLED | TouchedVWAP | Low:21594.00 | VWAP:21638.29 | SignalBar:2088 | BarsAgo:5
[21:14:42.644] [ANCHOR] Bar:2290 Time:14:11:00 | NEW HIGH ANCHOR | Price:21748.50 | High:21749.75 | VWAP:21748.50 | PrevAnchor:2289 | TrackerReset:-1
[21:14:42.644] [ANCHOR] Bar:2293 Time:14:14:00 | NEW HIGH ANCHOR | Price:21754.50 | High:21756.00 | VWAP:21754.50 | PrevAnchor:2292 | TrackerReset:-1
[21:14:42.644] [ANCHOR] Bar:2294 Time:14:15:00 | NEW HIGH ANCHOR | Price:21755.50 | High:21758.00 | VWAP:21755.50 | PrevAnchor:2293 | TrackerReset:-1
[21:14:42.646] [ANCHOR] Bar:2295 Time:14:16:00 | NEW HIGH ANCHOR | Price:21761.00 | High:21762.00 | VWAP:21761.00 | PrevAnchor:2294 | TrackerReset:-1
[21:14:42.646] [ANCHOR] Bar:2296 Time:14:17:00 | NEW HIGH ANCHOR | Price:21771.75 | High:21772.00 | VWAP:21771.75 | PrevAnchor:2295 | TrackerReset:-1
[21:14:42.647] [SIGNAL2] Bar:2299 Time:14:20:00 | SIG2 SHORT FIRED | High:21764.25 | VWAP:21765.78 | Sep:1.53 | Thresh:1 | AnchorBar:2296 | LastSignaled:-1
[21:14:42.647] [CANCEL] Bar:2303 Time:14:24:00 | SIG2 SHORT CANCELLED | TouchedVWAP | High:21762.75 | VWAP:21762.42 | SignalBar:2299 | BarsAgo:4
[21:14:42.658] [ANCHOR] Bar:2461 Time:17:02:00 | NEW HIGH ANCHOR | Price:21772.75 | High:21775.00 | VWAP:21772.75 | PrevAnchor:2460 | TrackerReset:-1
[21:14:42.658] [ANCHOR] Bar:2462 Time:17:03:00 | NEW HIGH ANCHOR | Price:21763.25 | High:21785.00 | VWAP:21763.25 | PrevAnchor:2461 | TrackerReset:-1
[21:14:42.659] [SIGNAL2] Bar:2470 Time:17:11:00 | SIG2 SHORT FIRED | High:21762.00 | VWAP:21763.84 | Sep:1.84 | Thresh:1 | AnchorBar:2462 | LastSignaled:-1
[21:14:42.660] [CANCEL] Bar:2478 Time:17:19:00 | SIG2 SHORT CANCELLED | TouchedVWAP | High:21765.00 | VWAP:21761.68 | SignalBar:2470 | BarsAgo:8
[21:14:42.663] [ANCHOR] Bar:2520 Time:19:01:00 | NEW HIGH ANCHOR | Price:21785.75 | High:21814.50 | VWAP:21785.75 | PrevAnchor:2519 | TrackerReset:-1
[21:14:42.664] [ANCHOR] Bar:2520 Time:19:01:00 | NEW LOW ANCHOR | Price:21785.75 | Low:21780.00 | VWAP:21785.75 | PrevAnchor:2519 | TrackerReset:-1
[21:14:42.664] [ANCHOR] Bar:2523 Time:19:04:00 | NEW HIGH ANCHOR | Price:21813.00 | High:21816.00 | VWAP:21813.00 | PrevAnchor:2522 | TrackerReset:-1
[21:14:42.665] [ANCHOR] Bar:2524 Time:19:05:00 | NEW HIGH ANCHOR | Price:21774.50 | High:21820.00 | VWAP:21774.50 | PrevAnchor:2523 | TrackerReset:-1
[21:14:42.665] [ANCHOR] Bar:2524 Time:19:05:00 | NEW LOW ANCHOR | Price:21774.50 | Low:21774.25 | VWAP:21774.50 | PrevAnchor:2523 | TrackerReset:-1
[21:14:42.666] [ANCHOR] Bar:2525 Time:19:06:00 | NEW LOW ANCHOR | Price:21788.25 | Low:21769.00 | VWAP:21788.25 | PrevAnchor:2524 | TrackerReset:-1
[21:14:42.669] [ANCHOR] Bar:2590 Time:20:11:00 | NEW HIGH ANCHOR | Price:21815.75 | High:21823.25 | VWAP:21815.75 | PrevAnchor:2589 | TrackerReset:-1
[21:14:42.670] [ANCHOR] Bar:2611 Time:20:32:00 | NEW HIGH ANCHOR | Price:21822.50 | High:21826.00 | VWAP:21822.50 | PrevAnchor:2610 | TrackerReset:-1
[21:14:42.671] [ANCHOR] Bar:2613 Time:20:34:00 | NEW HIGH ANCHOR | Price:21827.50 | High:21827.75 | VWAP:21827.50 | PrevAnchor:2612 | TrackerReset:-1
[21:14:42.672] [ANCHOR] Bar:2614 Time:20:35:00 | NEW HIGH ANCHOR | Price:21829.75 | High:21830.25 | VWAP:21829.75 | PrevAnchor:2613 | TrackerReset:-1
[21:14:42.672] [ANCHOR] Bar:2615 Time:20:36:00 | NEW HIGH ANCHOR | Price:21832.75 | High:21834.00 | VWAP:21832.75 | PrevAnchor:2614 | TrackerReset:-1
[21:14:42.672] [ANCHOR] Bar:2616 Time:20:37:00 | NEW HIGH ANCHOR | Price:21834.75 | High:21835.00 | VWAP:21834.75 | PrevAnchor:2615 | TrackerReset:-1
[21:14:42.673] [ANCHOR] Bar:2618 Time:20:39:00 | NEW HIGH ANCHOR | Price:21832.75 | High:21836.25 | VWAP:21832.75 | PrevAnchor:2617 | TrackerReset:-1
[21:14:42.674] [ANCHOR] Bar:2625 Time:20:46:00 | NEW HIGH ANCHOR | Price:21838.00 | High:21843.00 | VWAP:21838.00 | PrevAnchor:2624 | TrackerReset:-1
[21:14:42.679] [ANCHOR] Bar:2707 Time:22:08:00 | NEW HIGH ANCHOR | Price:21841.00 | High:21845.75 | VWAP:21841.00 | PrevAnchor:2706 | TrackerReset:-1
[21:14:42.681] [ANCHOR] Bar:2734 Time:22:35:00 | NEW HIGH ANCHOR | Price:21846.50 | High:21847.50 | VWAP:21846.50 | PrevAnchor:2733 | TrackerReset:-1
[21:14:42.681] [ANCHOR] Bar:2735 Time:22:36:00 | NEW HIGH ANCHOR | Price:21847.50 | High:21848.50 | VWAP:21847.50 | PrevAnchor:2734 | TrackerReset:-1
[21:14:42.683] [ANCHOR] Bar:2736 Time:22:37:00 | NEW HIGH ANCHOR | Price:21848.00 | High:21848.75 | VWAP:21848.00 | PrevAnchor:2735 | TrackerReset:-1
[21:14:42.683] [ANCHOR] Bar:2738 Time:22:39:00 | NEW HIGH ANCHOR | Price:21845.50 | High:21850.00 | VWAP:21845.50 | PrevAnchor:2737 | TrackerReset:-1
[21:14:42.686] [ANCHOR] Bar:2773 Time:23:14:00 | NEW HIGH ANCHOR | Price:21850.50 | High:21852.75 | VWAP:21850.50 | PrevAnchor:2772 | TrackerReset:-1
[21:14:42.687] [ANCHOR] Bar:2798 Time:23:39:00 | NEW HIGH ANCHOR | Price:21853.50 | High:21857.00 | VWAP:21853.50 | PrevAnchor:2797 | TrackerReset:-1
[21:14:42.689] [ANCHOR] Bar:2817 Time:23:58:00 | NEW HIGH ANCHOR | Price:21857.25 | High:21858.25 | VWAP:21857.25 | PrevAnchor:2816 | TrackerReset:-1
[21:14:42.692] [ANCHOR] Bar:2851 Time:00:32:00 | NEW HIGH ANCHOR | Price:21859.25 | High:21861.75 | VWAP:21859.25 | PrevAnchor:2850 | TrackerReset:-1
[21:14:42.692] [ANCHOR] Bar:2852 Time:00:33:00 | NEW HIGH ANCHOR | Price:21860.75 | High:21862.25 | VWAP:21860.75 | PrevAnchor:2851 | TrackerReset:-1
[21:14:42.692] [ANCHOR] Bar:2853 Time:00:34:00 | NEW HIGH ANCHOR | Price:21862.00 | High:21866.00 | VWAP:21862.00 | PrevAnchor:2852 | TrackerReset:-1
[21:14:42.692] [ANCHOR] Bar:2857 Time:00:38:00 | NEW HIGH ANCHOR | Price:21866.25 | High:21866.50 | VWAP:21866.25 | PrevAnchor:2856 | TrackerReset:-1
[21:14:42.692] [ANCHOR] Bar:2858 Time:00:39:00 | NEW HIGH ANCHOR | Price:21866.25 | High:21866.75 | VWAP:21866.25 | PrevAnchor:2857 | TrackerReset:-1
[21:14:42.694] [ANCHOR] Bar:2859 Time:00:40:00 | NEW HIGH ANCHOR | Price:21873.25 | High:21874.00 | VWAP:21873.25 | PrevAnchor:2858 | TrackerReset:-1
[21:14:42.694] [ANCHOR] Bar:2861 Time:00:42:00 | NEW HIGH ANCHOR | Price:21874.50 | High:21877.00 | VWAP:21874.50 | PrevAnchor:2860 | TrackerReset:-1
